ID,Observations
337045,239
39782,175
39682,163
39836,101
28362,74
29925,59
28562,38
39771,31
515419,18
39826,7
68334,4
39665,3
73844,3
26575,3
116461,3
36514,2
39824,2
1544605,1
39703,1
39814,1
39659,1
39830,1
26159,1
40089,1
146314,1
