ID,Observations,common_name,scientific_name,genus,family,order
452986,1,Mock-orange Scissor Bee,Chelostoma philadelphi,Chelostoma,Megachilidae,Hymenoptera
492993,1,Cherry Mining Bee,Andrena pruni,Andrena,Andrenidae,Hymenoptera
52780,1,Agile Longhorn Bee,Melissodes agilis,Melissodes,Apidae,Hymenoptera
226669,1,Georgia Mason Bee,Osmia georgica,Osmia,Megachilidae,Hymenoptera
198952,1,Eastern Miner Bee,Calliopsis andreniformis,Calliopsis,Andrenidae,Hymenoptera
747191,1,,Melissodes subillatus,Melissodes,Apidae,Hymenoptera
452920,1,Nude Mining Bee,Andrena nuda,Andrena,Andrenidae,Hymenoptera
199041,1,Unequal Cellophane Bee,Colletes inaequalis,Colletes,Colletidae,Hymenoptera
198986,1,Imitator Miner Bee,Andrena imitatrix,Andrena,Andrenidae,Hymenoptera
155085,1,Perplexing Bumble Bee,Bombus perplexus,Bombus,Apidae,Hymenoptera
199125,1,Bufflehead Mason Bee,Osmia bucephala,Osmia,Megachilidae,Hymenoptera
452939,1,Squash Longhorn-Cuckoo,Triepeolus remigatus,Triepeolus,Apidae,Hymenoptera
433922,1,,Megachile pusilla,Megachile,Megachilidae,Hymenoptera
1426449,1,Placid Nomad Bee,Nomada placida,Nomada,Apidae,Hymenoptera
