site,address,method,date,start,end,mean_temp,mean_rhum,max_wspd,total_prcp,notes
Peaceful,"52 E 117th St, New York, NY",bowl,6/28/2026,12:02,12:00,21.3,90.4,8,0.2,spoke with Philip
ELG,"237 W 111th St, New York, NY",bowl,6/28/2026,12:35,12:35,21.3,91,8,0.2,
Luigi,"227 W 115th St, New York, NY",bowl,6/28/2026,12:57,12:52,21.3,91,8,0.2,
Carrie,"145 St. Nicholas Ave, New York, NY",bowl,6/28/2026,13:20,10:15,22.2,86.6,6,1.3,"collected 2 days after, not the next day (Due to scheduling). Complained about raccoons eating their crops"
Drew,"1070 E Tremont Ave, Bronx, NY",bowl,6/28/2026,14:17,14:12,22.1,81.5,10,0,"told story of trespasser, GreenThumb woes. Why the lock was changed"
River,"1086 E 180th St, Bronx, NY",bowl,6/28/2026,14:57,14:39,22.2,81.8,7,0,
Krystal,"2093 Vyse Ave, Bronx, NY",bowl,6/28/2026,15:19,15:07,22.2,81.8,7,0,shed robbed
Hornaday,"851 Hornaday Pl, Bronx, NY",bowl,6/28/2026,15:38,15:27,22.1,82.5,7,0,
Happiness,2160 Prospect Avenue,bowl,6/28/2026,16:02,15:47,22.3,81.8,8,0,
Oasis,"1981 Lafontaine Ave, Bronx, NY",bowl,6/28/2026,16:35,16:17,22.3,82.2,8,0,"having BBQ, new guineafowl"
Batey,"504 E 178th St, Bronx, NY",bowl,6/28/2026,16:48,16:32,22.5,81.2,8,0,
West123,"116 W 123rd St, New York, NY",net,6/30/2026,9:25,10:00,23,72,6,0,
ELG,"237 W 111th St, New York, NY",net,6/30/2026,10:27,11:03,23.6,71,6,0,
Clayton,"303 W 126th St, New York, NY",net,6/30/2026,11:26,12:02,24.4,68.5,8,0,Marva present. Another member (name?) Kept giving me treats from the garden
West123,"116 W 123rd St, New York, NY",net,6/30/2026,13:25,14:00,27.2,60,6.1,0,spoke to Chloe and partner about greivances with garden management.
ELG,"237 W 111th St, New York, NY",net,6/30/2026,14:35,15:15,28.9,57,4,0,WFUV reporters there to feature me. Also spoke to Lisi
Clayton,"303 W 126th St, New York, NY",net,6/30/2026,16:15,16:45,30,51.5,12.2,0.2,
Luigi,"227 W 115th St, New York, NY",net,7/8/2026,8:36,9:10,18.3,87,3,0,
Peaceful,"52 E 117th St, New York, NY",net,7/8/2026,9:30,10:01,18.9,87,3,0,"met Ginger, who opened the garden for open hours."
Lydia,"1665 Park Ave, New York, NY",net,7/8/2026,10:07,10:43,19.8,82.5,6,0,
Gallo,"1891 Lexington Ave, New York, NY",net,7/8/2026,10:55,11:30,21.2,75.5,6,0,Met Helene and daughter Talia. Pet Garfield for the first time
Peaceful,"52 E 117th St, New York, NY",net,7/8/2026,12:19,12:55,22.2,72,5,0,open hours. Some community members there
Lydia,"1665 Park Ave, New York, NY",net,7/8/2026,13:45,14:24,24.4,64,0,0,
Gallo,"1891 Lexington Ave, New York, NY",net,7/8/2026,14:34,15:34,26.6,59,3,0,
Luigi,"227 W 115th St, New York, NY",net,7/8/2026,15:25,16:00,26.6,59,3,0,
Drew,"1070 E Tremont Ave, Bronx, NY",net,7/9/2026,10:20,11:00,24.4,75,5,0,met Ivette IRL for the first time.
Drew,"1070 E Tremont Ave, Bronx, NY",net,7/9/2026,13:38,14:10,28.3,67,12,0,"Cloudy. Looked like rain, but it never came"
BLF,"2485 Belmont Ave, Bronx, NY",net,7/10/2026,8:23,20:59,27.8,61.7,12,0,
BLF,"2485 Belmont Ave, Bronx, NY",net,7/10/2026,12:30,13:30,27.4,60,12,0,
