site,address,method,date,start,end
BLF,"2485 Belmont Ave, Bronx, NY",net,7/10/2026,12:30,13:30
Krystal,"2093 Vyse Ave, Bronx, NY",net,8/10/2026,9:48,10:26
River,"1086 E 180th St, Bronx, NY",net,8/10/2026,10:40,11:20
Drew,"1070 E Tremont Ave, Bronx, NY",net,8/10/2026,12:41,13:18
Krystal,"2093 Vyse Ave, Bronx, NY",net,8/10/2026,14:25,14:58
River,"1086 E 180th St, Bronx, NY",net,8/10/2026,15:04,15:39
Drew,"1070 E Tremont Ave, Bronx, NY",net,8/10/2026,15:45,16:19
Hornaday,"851 Hornaday Pl, Bronx, NY",net,8/11/2026,8:58,9:33
Happiness,"2160 Prospect Avenue, Bronx, NY",net,8/11/2026,9:43,10:16
BLF,"2485 Belmont Ave, Bronx, NY",net,8/11/2026,10:42,11:20
Hornaday,"851 Hornaday Pl, Bronx, NY",net,8/11/2026,12:36,13:13
Happiness,"2160 Prospect Avenue, Bronx, NY",net,8/11/2026,13:50,14:23
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,8/12/2026,9:30,10:05
Batey,"504 E 178th St, Bronx, NY",net,8/12/2026,10:20,10:56
Oasis,"1981 Lafontaine Ave, Bronx, NY",net,8/12/2026,13:04,13:38
Batey,"504 E 178th St, Bronx, NY",net,8/12/2026,13:57,14:32
Lydia,"1665 Park Ave, New York, NY",net,8/14/2026,8:59,9:33
Peaceful,"52 E 117th St, New York, NY",net,8/14/2026,9:50,10:22
Gallo,"1891 Lexington Ave, New York, NY",net,8/14/2026,10:36,11:07
Lydia,"1665 Park Ave, New York, NY",net,8/14/2026,13:00,13:40
Gallo,"1891 Lexington Ave, New York, NY",net,8/14/2026,13:56,14:30
Peaceful,"52 E 117th St, New York, NY",net,8/14/2026,14:33,15:04
Batey,"504 E 178th St, Bronx, NY",bowl,8/16/2026,7:51,9:12
Oasis,"1981 Lafontaine Ave, Bronx, NY",bowl,8/16/2026,8:11,9:23
Happiness,"2160 Prospect Avenue, Bronx, NY",bowl,8/16/2026,8:43,9:48
Hornaday,"851 Hornaday Pl, Bronx, NY",bowl,8/16/2026,9:05,10:02
Krystal,"2093 Vyse Ave, Bronx, NY",bowl,8/16/2026,9:32,10:17
River,"1086 E 180th St, Bronx, NY",bowl,8/16/2026,9:57,10:36
Gallo,"1891 Lexington Ave, New York, NY",bowl,8/16/2026,10:48,11:22
Lydia,"1665 Park Ave, New York, NY",bowl,8/16/2026,11:12,11:51
Peaceful,"52 E 117th St, New York, NY",bowl,8/16/2026,11:30,0:15
ELG,"237 W 111th St, New York, NY",bowl,8/15/2026,8:30,12:01
Luigi,"227 W 115th St, New York, NY",bowl,8/16/2026,12:22,0:38
Carrie,"145 St. Nicholas Ave, Manhattan, NY",bowl,8/16/2026,12:39,0:59
Clayton,"303 W 126th St, New York, NY",bowl,8/16/2026,13:09,13:20
West123,"116 W 123rd St, New York, NY",bowl,8/16/2026,13:38,13:38
Luigi,"227 W 115th St, New York, NY",net,8/19/2026,9:28,10:03
Clayton,"303 W 126th St, New York, NY",net,8/19/2026,10:25,11:01
ELG,"237 W 111th St, New York, NY",net,8/19/2026,11:28,12:02
Luigi,"227 W 115th St, New York, NY",net,8/19/2026,13:35,14:07
Clayton,"303 W 126th St, New York, NY",net,8/19/2026,15:00,15:36
ELG,"237 W 111th St, New York, NY",net,8/19/2026,16:05,16:40
West123,"116 W 123rd St, New York, NY",net,8/20/2026,9:10,9:50
West123,"116 W 123rd St, New York, NY",net,8/20/2026,12:36,13:15
