mean_temp,mean_rhum,max_wspd,total_prcp
22.5,72.0,5.0,0.0
24.15,71.0,9.0,0.0
25.85,67.5,9.0,0.0
29.15,56.0,8.0,0.0
30.0,53.0,8.0,0.0
32.2,45.0,11.0,0.0
18.96538461538461,52.42307692307692,13.0,0.0
18.815384615384612,52.80769230769231,13.0,0.0
18.811999999999998,52.68,13.0,0.0
18.68846153846154,53.03846153846154,13.0,0.0
18.68846153846154,53.03846153846154,13.0,0.0
18.660000000000004,52.96,13.0,0.0
18.747826086956525,53.391304347826086,16.0,0.0
18.57826086956522,53.30434782608695,16.0,0.0
18.57826086956522,53.30434782608695,16.0,0.0
23.221739130434788,79.08695652173913,10.0,2.2
18.38636363636364,52.54545454545455,16.0,0.0
20.157142857142862,44.92857142857143,11.0,0.0
20.907142857142862,41.642857142857146,11.0,0.0
15.0,69.0,5.0,0.0
20.0,42.5,6.0,0.0
21.950000000000003,34.5,3.0,0.0
23.35,32.5,11.0,0.0
21.1,63.0,6.0,0.0
19.75,50.5,0.0,0.0
21.4,46.5,0.0,0.0
23.049999999999997,65.0,11.0,0.0
24.75,41.0,5.0,0.0
27.2,28.0,5.0,0.0
17.5,62.5,10.0,0.0
18.05,59.0,10.0,0.0
18.85,53.5,10.0,0.0
20.6,45.0,10.8,0.0
20.85,43.0,10.8,0.0
21.950000000000003,39.5,7.0,0.0
18.9,73.0,9.0,0.0
19.15,70.5,9.0,0.0
21.7,59.0,3.0,0.0
23.6,49.0,10.0,0.0
24.75,41.0,14.0,0.0
25.6,36.0,14.0,0.0
20.0,69.0,3.0,0.0
20.0,70.0,4.0,0.0
22.8,90.0,0.0,0.1
23.3,56.0,7.0,0.0
25.25,46.5,9.0,0.0
27.2,67.0,5.0,0.0
21.352000000000004,90.04,8.0,0.2
21.352000000000004,90.04,8.0,0.2
21.328000000000003,90.36,8.0,0.2
21.328000000000003,90.36,8.0,0.2
21.328000000000003,90.36,8.0,0.2
21.283999999999995,91.04,8.0,0.2
21.283999999999995,91.04,8.0,0.2
22.172727272727276,86.5909090909091,6.0,1.3
22.127999999999997,81.48,10.0,0.0
22.176,81.76,7.0,0.0
22.176,81.76,7.0,0.0
22.129166666666666,82.5,7.0,0.0
28.180000000000003,72.56,19.0,0.2
22.291666666666668,82.16666666666667,8.0,0.0
22.488000000000003,81.2,8.0,0.0
23.05,72.0,6.0,0.0
23.6,71.0,6.0,0.0
24.45,68.5,8.0,0.0
27.25,60.0,6.1,0.0
28.9,57.0,4.0,0.0
30.0,51.5,12.2,0.2
18.3,87.0,3.0,0.0
18.9,87.0,3.0,0.0
19.75,82.5,6.0,0.0
21.15,75.5,6.0,0.0
22.25,72.0,5.0,0.0
24.4,64.0,0.0,0.0
26.65,59.0,3.0,0.0
26.65,59.0,3.0,0.0
24.45,75.0,5.0,0.0
28.3,67.0,12.0,0.0
27.771428571428572,61.714285714285715,12.0,0.0
27.400000000000002,60.0,12.0,0.0
